Patient,Section,ts,value
552-ws-training,acceleration,2025-04-17 20:01:00,1.0614700317382812
552-ws-training,acceleration,2025-04-17 20:02:00,1.0888279676437378
552-ws-training,acceleration,2025-04-17 20:03:00,1.1065410375595093
552-ws-training,acceleration,2025-04-17 20:04:00,1.0625649690628052
552-ws-training,acceleration,2025-04-17 20:05:00,1.085737943649292
552-ws-training,acceleration,2025-04-17 20:06:00,1.0603679418563845
552-ws-training,acceleration,2025-04-17 20:07:00,1.0580389499664309
552-ws-training,acceleration,2025-04-17 20:08:00,1.064321994781494
552-ws-training,acceleration,2025-04-17 20:09:00,1.0662519931793213
552-ws-training,acceleration,2025-04-17 20:10:00,1.0533210039138794
552-ws-training,acceleration,2025-04-17 20:11:00,1.0478229522705078
552-ws-training,acceleration,2025-04-17 20:12:00,1.0739389657974243
552-ws-training,acceleration,2025-04-17 20:13:00,1.0675990581512451
552-ws-training,acceleration,2025-04-17 20:14:00,1.0729010105133057
552-ws-training,acceleration,2025-04-17 20:15:00,1.066957950592041
552-ws-training,acceleration,2025-04-17 20:16:00,1.0658849477767944
552-ws-training,acceleration,2025-04-17 20:17:00,1.0590870380401611
552-ws-training,acceleration,2025-04-17 20:18:00,1.0425920486450195
552-ws-training,acceleration,2025-04-17 20:19:00,1.037421941757202
552-ws-training,acceleration,2025-04-17 20:20:00,1.0335849523544312
552-ws-training,acceleration,2025-04-17 20:21:00,1.0441609621047974
552-ws-training,acceleration,2025-04-17 20:22:00,1.0452280044555664
552-ws-training,acceleration,2025-04-17 20:23:00,1.0460189580917358
552-ws-training,acceleration,2025-04-17 20:24:00,1.0614149570465088
552-ws-training,acceleration,2025-04-17 20:25:00,1.0399960279464722
552-ws-training,acceleration,2025-04-17 20:26:00,1.038303017616272
552-ws-training,acceleration,2025-04-17 20:27:00,1.0497490167617798
552-ws-training,acceleration,2025-04-17 20:28:00,1.0392279624938965
552-ws-training,acceleration,2025-04-17 20:29:00,1.035027027130127
552-ws-training,acceleration,2025-04-17 20:30:00,1.0464600324630735
552-ws-training,acceleration,2025-04-17 20:31:00,1.0355559587478638
552-ws-training,acceleration,2025-04-17 20:32:00,1.036236047744751
552-ws-training,acceleration,2025-04-17 20:33:00,1.038838028907776
552-ws-training,acceleration,2025-04-17 20:34:00,1.0476369857788086
552-ws-training,acceleration,2025-04-17 20:35:00,1.0406550168991089
552-ws-training,acceleration,2025-04-17 20:36:00,1.0399880409240725
552-ws-training,acceleration,2025-04-17 20:37:00,1.035032033920288
552-ws-training,acceleration,2025-04-17 20:38:00,1.0493199825286863
552-ws-training,acceleration,2025-04-17 20:39:00,1.0505969524383545
552-ws-training,acceleration,2025-04-17 20:40:00,1.0539779663085938
552-ws-training,acceleration,2025-04-17 20:41:00,1.0370839834213257
552-ws-training,acceleration,2025-04-17 20:42:00,1.0395480394363403
552-ws-training,acceleration,2025-04-17 20:43:00,1.0401990413665771
552-ws-training,acceleration,2025-04-17 20:44:00,1.0391759872436523
552-ws-training,acceleration,2025-04-17 20:45:00,1.0493409633636477
552-ws-training,acceleration,2025-04-17 20:46:00,1.060708999633789
552-ws-training,acceleration,2025-04-17 20:47:00,1.0385760068893433
552-ws-training,acceleration,2025-04-17 20:48:00,1.042227029800415
552-ws-training,acceleration,2025-04-17 20:49:00,1.0381649732589722
552-ws-training,acceleration,2025-04-17 20:50:00,1.041026949882507
552-ws-training,acceleration,2025-04-17 20:51:00,1.0366710424423218
552-ws-training,acceleration,2025-04-17 20:52:00,1.0488569736480713
552-ws-training,acceleration,2025-04-17 20:53:00,1.0797289609909058
552-ws-training,acceleration,2025-04-17 20:54:00,1.0619029998779297
552-ws-training,acceleration,2025-04-17 20:55:00,1.1232340335845947
552-ws-training,acceleration,2025-04-17 20:56:00,1.107751965522766
552-ws-training,acceleration,2025-04-17 20:57:00,1.1309870481491089
552-ws-training,acceleration,2025-04-17 20:58:00,1.159358024597168
552-ws-training,acceleration,2025-04-17 20:59:00,1.1207629442214966
552-ws-training,acceleration,2025-04-17 21:00:00,1.1192840337753296
552-ws-training,acceleration,2025-04-17 21:01:00,1.113031029701233
552-ws-training,acceleration,2025-04-17 21:02:00,1.115509033203125
552-ws-training,acceleration,2025-04-17 21:03:00,1.111050009727478
552-ws-training,acceleration,2025-04-17 21:04:00,1.119884967803955
552-ws-training,acceleration,2025-04-17 21:05:00,1.1172900199890137
552-ws-training,acceleration,2025-04-17 21:06:00,1.0928800106048584
552-ws-training,acceleration,2025-04-17 21:07:00,1.0778169631958008
552-ws-training,acceleration,2025-04-17 21:08:00,1.068858981132507
552-ws-training,acceleration,2025-04-17 21:09:00,1.0658279657363892
552-ws-training,acceleration,2025-04-17 21:10:00,1.0678950548171997
552-ws-training,acceleration,2025-04-17 21:11:00,1.0382519960403442
552-ws-training,acceleration,2025-04-17 21:12:00,1.0723739862442017
552-ws-training,acceleration,2025-04-17 21:13:00,1.063843011856079
552-ws-training,acceleration,2025-04-17 21:14:00,1.0606030225753784
552-ws-training,acceleration,2025-04-17 21:15:00,1.04829204082489
552-ws-training,acceleration,2025-04-17 21:16:00,1.0437350273132324
552-ws-training,acceleration,2025-04-17 21:17:00,1.043086051940918
552-ws-training,acceleration,2025-04-17 21:18:00,1.0464190244674685
552-ws-training,acceleration,2025-04-17 21:19:00,1.0460150241851809
552-ws-training,acceleration,2025-04-17 21:20:00,1.0434889793395996
552-ws-training,acceleration,2025-04-17 21:21:00,1.0405880212783811
552-ws-training,acceleration,2025-04-17 21:22:00,1.044340968132019
552-ws-training,acceleration,2025-04-17 21:23:00,1.044613003730774
552-ws-training,acceleration,2025-04-17 21:24:00,1.049515962600708
552-ws-training,acceleration,2025-04-17 21:25:00,1.033139944076538
552-ws-training,acceleration,2025-04-17 21:26:00,1.02388596534729
552-ws-training,acceleration,2025-04-17 21:27:00,1.0431430339813232
552-ws-training,acceleration,2025-04-17 21:28:00,1.038869023323059
552-ws-training,acceleration,2025-04-17 21:29:00,1.0455230474472046
552-ws-training,acceleration,2025-04-17 21:30:00,1.054813027381897
552-ws-training,acceleration,2025-04-17 21:31:00,1.0774459838867188
552-ws-training,acceleration,2025-04-17 21:32:00,1.07212495803833
552-ws-training,acceleration,2025-04-17 21:33:00,1.042112946510315
552-ws-training,acceleration,2025-04-17 21:34:00,1.041638970375061
552-ws-training,acceleration,2025-04-17 21:35:00,1.0401649475097656
552-ws-training,acceleration,2025-04-17 21:36:00,1.0429970026016235
552-ws-training,acceleration,2025-04-17 21:37:00,1.042330980300903
552-ws-training,acceleration,2025-04-17 21:38:00,1.045462965965271
552-ws-training,acceleration,2025-04-17 21:39:00,1.0549449920654297
552-ws-training,acceleration,2025-04-17 21:40:00,1.0519130229949951
552-ws-training,acceleration,2025-04-17 21:41:00,1.0569610595703125
